DEBUG stats: genes_all=2538 genes_used=2538 mapped=2538 unmapped=0 nclusters=15 native_cluster=1 native_size=1705
         14486965 function calls (14345253 primitive calls) in 17.989 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50760    0.004    0.000    0.004    0.000 fromnumeric.py:2299(_sum_dispatcher)
      607    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
     1805    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
  3827/98    0.003    0.000    0.007    0.000 copy.py:119(deepcopy)
      607    0.003    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
      747    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    23876    0.003    0.000    0.003    0.000 SeqFeature.py:1244(parts)
     1900    0.003    0.000    0.007    0.000 _docscrape.py:67(read_to_condition)
      885    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
    12225    0.003    0.000    0.004    0.000 _parser.py:167(__getitem__)
        1    0.003    0.003    0.455    0.455 helpers.py:196(build_genomic_island_contig_details)
     1215    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.003    0.003   17.990   17.990 jscb.py:1(<module>)
     3759    0.002    0.000    0.004    0.000 SeqFeature.py:1010(__str__)
    16152    0.002    0.000    0.002    0.000 {method 'reverse' of 'list' objects}
      582    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
     4329    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     1805    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    751/4    0.002    0.000    0.570    0.142 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1805    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      128    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      254    0.002    0.000    0.011    0.000 typing.py:1438(__init__)
    32663    0.002    0.000    0.002    0.000 SeqFeature.py:994(_get_strand)
     4329    0.002    0.000    0.005    0.000 <frozen codecs>:322(decode)
      265    0.002    0.000    0.005    0.000 typing.py:260(_collect_type_parameters)
        1    0.002    0.002    0.450    0.450 InsdcIO.py:1038(write_record)
      728    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      885    0.002    0.000    0.010    0.000 textwrap.py:419(dedent)
      718    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
       64    0.002    0.000    0.002    0.000 {built-in method _io.open}
      523    0.002    0.000    0.003    0.000 functools.py:36(update_wrapper)
 1924/570    0.002    0.000    0.002    0.000 _parser.py:177(getwidth)
   727/14    0.002    0.000    0.569    0.041 <frozen importlib._bootstrap>:911(_load_unlocked)
   1829/9    0.002    0.000    0.569    0.063 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     7714    0.002    0.000    0.002    0.000 InsdcIO.py:452(_wrap_location)
        3    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      633    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     3181    0.002    0.000    0.003    0.000 _docscrape.py:57(seek_next_non_empty_line)
       44    0.002    0.000    0.002    0.000 {built-in method _hashlib.openssl_sha1}
7756/6937    0.002    0.000    0.119    0.000 {built-in method builtins.hasattr}
     1805    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
     9211    0.002    0.000    0.002    0.000 _docscrape.py:64(eof)
     1805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      169    0.001    0.000    0.001    0.000 {built-in method cupy._core._kernel.create_ufunc}
  658/155    0.001    0.000    0.023    0.000 _parser.py:451(_parse_sub)
       19    0.001    0.000    0.003    0.000 enum.py:1754(convert_class)
     6563    0.001    0.000    0.002    0.000 _parser.py:260(get)
        1    0.001    0.001    0.003    0.003 helpers.py:697(write_output_gi)
    11122    0.001    0.000    0.001    0.000 _docscrape.py:43(__getitem__)
      742    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
       97    0.001    0.000    0.032    0.000 _docscrape.py:388(_parse)
     3626    0.001    0.000    0.002    0.000 {built-in method builtins.max}
       39    0.001    0.000    0.004    0.000 __init__.py:358(namedtuple)
     4448    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      132    0.001    0.000    0.004    0.000 inspect.py:2396(_signature_from_function)
     1761    0.001    0.000    0.003    0.000 typing.py:1383(__setattr__)
     9254    0.001    0.000    0.001    0.000 _parser.py:239(__next)
     3786    0.001    0.000    0.002    0.000 _docscrape.py:91(peek)
      607    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
  802/299    0.001    0.000    0.399    0.001 <frozen importlib._bootstrap>:1398(_handle_fromlist)
     1240    0.001    0.000    0.074    0.000 __init__.py:824(asnumpy)
     4623    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      569    0.001    0.000    0.015    0.000 _docscrape.py:201(_read_to_next_section)
     6272    0.001    0.000    0.002    0.000 _docscrape.py:80(is_empty)
      255    0.001    0.000    0.003    0.000 typing.py:1322(__init__)
      194    0.001    0.000    0.007    0.000 _docscrape.py:224(_parse_param_list)
    607/6    0.001    0.000    0.569    0.095 <frozen importlib._bootstrap_external>:1017(exec_module)
     1805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      187    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     7518    0.001    0.000    0.001    0.000 SeqFeature.py:1858(__str__)
     1215    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1801    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      209    0.001    0.000    0.002    0.000 helpers.py:361(init_cluster)
     2366    0.001    0.000    0.002    0.000 typing.py:1309(_is_dunder)
      457    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
  729/723    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     5832    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2882    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
   204/98    0.001    0.000    0.007    0.000 copy.py:218(_deepcopy_dict)
     4568    0.001    0.000    0.001    0.000 typing.py:1818(<genexpr>)
      715    0.001    0.000    0.001    0.000 CodonTable.py:286(<genexpr>)
     1821    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       81    0.001    0.000    0.001    0.000 CodonTable.py:376(__init__)
     2295    0.001    0.000    0.002    0.000 typing.py:1125(_is_unpacked_typevartuple)
      248    0.001    0.000    0.001    0.000 inspect.py:3056(__init__)
     1051    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      718    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
      873    0.001    0.000    0.001    0.000 _docscrape.py:475(_str_param_list)
     3759    0.001    0.000    0.001    0.000 _parser.py:175(append)
     1805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      628    0.001    0.000    0.001    0.000 inspect.py:2768(__init__)
     1240    0.001    0.000    0.001    0.000 syncdetect.py:38(_declare_synchronize)
      693    0.001    0.000    0.001    0.000 CodonTable.py:296(<genexpr>)
      458    0.001    0.000    0.001    0.000 CodonTable.py:291(<genexpr>)
  160/137    0.001    0.000    0.007    0.000 inspect.py:2500(_signature_from_callable)
      591    0.001    0.000    0.014    0.000 _docscrape.py:212(_read_sections)
      614    0.001    0.000    0.004    0.000 {built-in method builtins.sorted}
      310    0.001    0.000    0.008    0.000 overrides.py:145(decorator)
      744    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       24    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      607    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      717    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
      582    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     3417    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       27    0.001    0.000    0.016    0.001 CodonTable.py:493(register_ncbi_table)
       62    0.001    0.000    0.009    0.000 typing.py:812(Literal)
       97    0.001    0.000    0.007    0.000 _docscrape.py:366(_parse_summary)
