         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1615    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
    32663    0.003    0.000    0.003    0.000 SeqFeature.py:994(_get_strand)
     1615    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:124(setdefault)
      944    0.002    0.000    0.013    0.000 textwrap.py:419(dedent)
     1615    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      377    0.002    0.000    0.006    0.000 typing.py:260(_collect_type_parameters)
     4372    0.002    0.000    0.003    0.000 _parser.py:255(match)
      113    0.002    0.000    1.394    0.012 __init__.py:1(<module>)
     1615    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
     4304    0.002    0.000    0.005    0.000 <frozen codecs>:322(decode)
      755    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     7308    0.002    0.000    0.003    0.000 _parser.py:260(get)
  680/155    0.002    0.000    0.051    0.000 _parser.py:451(_parse_sub)
      725    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
    755/6    0.002    0.000    0.556    0.093 <frozen importlib._bootstrap>:911(_load_unlocked)
    10204    0.002    0.000    0.002    0.000 _parser.py:239(__next)
9158/8491    0.002    0.000    0.134    0.000 {built-in method builtins.hasattr}
        1    0.002    0.002    0.449    0.449 InsdcIO.py:1038(write_record)
      104    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     7714    0.002    0.000    0.003    0.000 InsdcIO.py:452(_wrap_location)
      770    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      192    0.002    0.000    0.006    0.000 inspect.py:2396(_signature_from_function)
     2396    0.002    0.000    0.003    0.000 typing.py:1383(__setattr__)
      749    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
     3086    0.002    0.000    0.003    0.000 _docscrape.py:57(seek_next_non_empty_line)
     7518    0.002    0.000    0.002    0.000 SeqFeature.py:1858(__str__)
     6239    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
       41    0.002    0.000    0.004    0.000 __init__.py:358(namedtuple)
     8832    0.002    0.000    0.002    0.000 _docscrape.py:64(eof)
      342    0.001    0.000    0.011    0.000 typing.py:1438(__init__)
      649    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       20    0.001    0.000    0.003    0.000 enum.py:1754(convert_class)
       20    0.001    0.000    0.002    0.000 {built-in method _io.open}
