         14070320 function calls (13931903 primitive calls) in 6.447 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2837    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      853    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      595    0.001    0.000    0.004    0.000 {built-in method builtins.sorted}
      550    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
       14    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     2280    0.001    0.000    0.001    0.000 typing.py:1125(_is_unpacked_typevartuple)
      734    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       74    0.001    0.000    0.002    0.000 _docscrape.py:290(_parse_see_also)
     2302    0.001    0.000    0.001    0.000 typing.py:1309(_is_dunder)
      846    0.001    0.000    0.001    0.000 _docscrape.py:475(_str_param_list)
      741    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.001    0.001    0.001    0.001 helpers.py:617(call_genomic_islands)
      576    0.001    0.000    0.013    0.000 _docscrape.py:212(_read_sections)
      275    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
        1    0.001    0.001    0.001    0.001 {built-in method posix.mkdir}
     3397    0.001    0.000    0.001    0.000 _parser.py:175(append)
     1101    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1496    0.001    0.000    0.007    0.000 _docscrape.py:77(read_to_next_empty_line)
      741    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       94    0.001    0.000    0.003    0.000 _docscrape.py:548(__str__)
      228    0.001    0.000    0.001    0.000 inspect.py:3056(__init__)
  426/420    0.001    0.000    0.175    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       94    0.001    0.000    0.007    0.000 _docscrape.py:366(_parse_summary)
      567    0.001    0.000    0.001    0.000 inspect.py:2768(__init__)
      546    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     3852    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      137    0.001    0.000    0.034    0.000 _compiler.py:743(compile)
        5    0.001    0.000    0.005    0.001 __init__.py:805(sequence)
      508    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      741    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1767    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1367    0.001    0.000    0.001    0.000 {built-in method builtins.max}
