tests/CP116442.gbk
         16645481 function calls (16517950 primitive calls) in 6.637 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    239/5    0.001    0.000    0.248    0.050 <frozen importlib._bootstrap>:911(_load_unlocked)
      264    0.001    0.000    0.023    0.000 overrides.py:145(decorator)
     2041    0.001    0.000    0.001    0.000 typing.py:1309(_is_dunder)
      240    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      350    0.001    0.000    0.025    0.000 function_base.py:490(add_newdoc)
     4297    0.001    0.000    0.001    0.000 <frozen codecs>:334(getstate)
       10    0.001    0.000    0.004    0.000 enum.py:899(_convert_)
     2236    0.001    0.000    0.001    0.000 typing.py:1125(_is_unpacked_typevartuple)
      458    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
      352    0.001    0.000    0.001    0.000 typing.py:173(_type_check)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
     4462    0.001    0.000    0.001    0.000 typing.py:1818(<genexpr>)
      229    0.001    0.000    0.013    0.000 overrides.py:86(verify_matching_signatures)
      208    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
      481    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
    448/1    0.001    0.000    0.247    0.247 {built-in method builtins.__import__}
    208/4    0.001    0.000    0.248    0.062 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.001    0.001    0.001    0.001 jscb_old.py:697(call_genomic_islands_like_jscb_py)
     1828    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
     1619    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
   265/11    0.000    0.000    0.247    0.022 <frozen importlib._bootstrap>:1398(_handle_fromlist)
      416    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       81    0.000    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
      350    0.000    0.000    0.023    0.000 function_base.py:474(_add_docstring)
   105/33    0.000    0.000    0.003    0.000 typing.py:1527(_make_substitution)
       19    0.000    0.000    0.001    0.000 enum.py:499(__new__)
     1517    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      481    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       50    0.000    0.000    0.005    0.000 typing.py:812(Literal)
      493    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
   608/10    0.000    0.000    0.248    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      117    0.000    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      129    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      721    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      458    0.000    0.000    0.002    0.000 _inspect.py:97(getargspec)
      129    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       53    0.000    0.000    0.012    0.000 _add_newdocs.py:3381(_array_method_doc)
       77    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
       76    0.000    0.000    0.001    0.000 typing.py:1828(__hash__)
      240    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
   113/43    0.000    0.000    0.006    0.000 _parser.py:451(_parse_sub)
  239/231    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
  340/100    0.000    0.000    0.001    0.000 _parser.py:177(getwidth)
      624    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1564    0.000    0.000    0.001    0.000 _parser.py:260(get)
   105/33    0.000    0.000    0.003    0.000 typing.py:1498(_determine_new_args)
     1022    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1307    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      333    0.000    0.000    0.000    0.000 enum.py:830(__setattr__)
     2465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
     2078    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
        1    0.000    0.000    0.002    0.002 QualityIO.py:1(<module>)
      607    0.000    0.000    0.001    0.000 {built-in method builtins.max}
  276/148    0.000    0.000    0.014    0.000 typing.py:426(inner)
      238    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       81    0.000    0.000    0.022    0.000 CodonTable.py:202(__init__)
        5    0.000    0.000    0.001    0.000 Scanner.py:113(parse_header)
       25    0.000    0.000    0.005    0.000 inspect.py:2396(_signature_from_function)
      237    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1929    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      564    0.000    0.000    0.001    0.000 typing.py:1373(__getattr__)
     3755    0.000    0.000    0.000    0.000 <string>:2(__init__)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      322    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        9    0.000    0.000    2.208    0.245 Scanner.py:483(parse)
      552    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
     3755    0.000    0.000    0.000    0.000 jscb_old.py:177(length_nt)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      244    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
   105/33    0.000    0.000    0.005    0.000 typing.py:1467(__getitem__)
       77    0.000    0.000    0.004    0.000 typing.py:753(Union)
        1    0.000    0.000    0.026    0.026 CodonTable.py:1(<module>)
      832    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      349    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     1543    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      205    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      963    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      155    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       43    0.000    0.000    0.010    0.000 _compiler.py:743(compile)
        1    0.000    0.000    0.000    0.000 jscb_old.py:525(compute_rpos)
     1443    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        8    0.000    0.000    0.001    0.000 typing.py:3013(__new__)
      446    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
     1443    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2316    0.000    0.000    0.000    0.000 typing.py:1442(<genexpr>)
       43    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
      441    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
