tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      455    0.001    0.000    0.002    0.000 functools.py:36(update_wrapper)
       35    0.001    0.000    0.006    0.000 __init__.py:358(namedtuple)
       81    0.001    0.000    0.002    0.000 CodonTable.py:376(__init__)
        2    0.001    0.001    0.001    0.001 Seq.py:2040(__init__)
     3666    0.001    0.000    0.002    0.000 _docscrape.py:91(peek)
  1069/13    0.001    0.000    0.427    0.033 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      188    0.001    0.000    0.006    0.000 _docscrape.py:224(_parse_param_list)
     6040    0.001    0.000    0.002    0.000 _docscrape.py:80(is_empty)
      554    0.001    0.000    0.014    0.000 _docscrape.py:201(_read_to_next_section)
      458    0.001    0.000    0.001    0.000 CodonTable.py:291(<genexpr>)
      715    0.001    0.000    0.001    0.000 CodonTable.py:286(<genexpr>)
      433    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
     3374    0.001    0.000    0.002    0.000 _parser.py:175(append)
     1536    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      419    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
        9    0.001    0.000    0.001    0.000 {built-in method _io.open}
      693    0.001    0.000    0.001    0.000 CodonTable.py:296(<genexpr>)
      739    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
      122    0.001    0.000    0.003    0.000 inspect.py:2396(_signature_from_function)
      365    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     1605    0.001    0.000    0.002    0.000 typing.py:1383(__setattr__)
     3565    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3835    0.001    0.000    0.001    0.000 _parser.py:255(match)
      229    0.001    0.000    0.007    0.000 typing.py:1438(__init__)
      406    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
   198/95    0.001    0.000    0.006    0.000 copy.py:218(_deepcopy_dict)
   376/29    0.001    0.000    0.354    0.012 <frozen importlib._bootstrap>:1398(_handle_fromlist)
